59.5	359	231	10	50
60.7	68	387	16	
71	338	304	13	
79.9	135	349	15	
84.8	404	223	9	
85.4	331	372	16	
85.9	228	249	10	
88.3	92	355	15	
96.9	406	352	15	
97.5	72	227	9	
97.8	128	281	12	
98.6	194	264	11	
99.5	363	209	9	
99.7	362	213	9	
100.7	89	344	14	
101	466	260	11	
101.7	95	337	14	
103.1	468	362	15	
106	312	280	12	
107.4	42	323	13	
107.7	283	304	13	
110.7	372	193	8	
111.2	107	341	14	
112.8	111	301	13	
114	323	289	12	
116.6	141	274	11	
118.2	73	372	16	
119.7	458	361	15	
119.8	238	307	13	
122.5	387	354	15	
122.7	431	315	13	
127.2	47	175	7	
127.7	318	328	14	
127.9	120	247	10	
129.2	312	309	13	
129.4	434	219	9	
136.7	97	229	10	
175.2	43	338	14	
184.1	412	387	16	
189.8	90	242	10	
191.2	272	265	11	
198.7	272	240	10	
205.4	375	390	16	
207.8	89	398	17	
208.8	114	345	14	
209.8	121	374	16	
214.8	336	368	15	
227.1	301	176	7	
238.5	431	337	14	
238.7	65	364	15	
241.4	449	153	6	
243.9	126	275	11	
246	105	177	7	
246.4	363	308	13	
249.6	182	311	13	
268.6	101	164	7	
270.7	282	265	11	
271.3	229	182	8	
273.4	383	210	9	
274	107	383	16	
279.6	81	369	15	
283.5	301	288	12	
301.4	288	251	10	
319.8	187	335	14	
325.6	422	382	16	
326.9	322	220	9	
329.3	82	206	9	
329.9	276	286	12	
331.3	177	305	13	
331.4	454	263	11	
332	410	359	15	
332.7	36	245	10	
334.1	353	374	16	
336.1	62	265	11	
337.9	384	376	16	
339.4	207	222	9	
345.4	414	156	6	
348.1	164	184	8	
348.4	465	238	10	
349.4	41	259	11	
352.4	388	316	13	
355.3	233	211	9	
357.5	62	335	14	
358.3	280	394	16	
361.6	231	157	7	
363.1	450	394	16	
363.5	169	181	8	
365.2	92	208	9	
365.9	370	293	12	
366.1	106	292	12	
367.6	212	315	13	
368	137	342	14	
374.6	53	305	13	
376.9	50	156	7	
380.6	49	193	8	
391.6	48	168	7	
398.7	126	350	15	
403.5	349	280	12	
404.2	301	185	8	
405.3	326	297	12	
